request_ordinal,physical_request_id,prompt_tokens,output_tokens,cached_tokens,prefill_ms,decode_ms,queue_ms,e2e_ms,scope
0,proxy-request-d3b680f6f994c2a1be350bd8a6b4334e,1410,100,0,1269.0203748643398,1062.032826244831,0.07427623495459557,2360.072612762451,"integration fixture; native engine service wall, not GPU kernel time"
1,proxy-request-b8aba1eaef5a5602b6a1f6ab32c3d70d,3559,51,1504,83.87697208672762,308.1422569230199,0.05921674892306328,393.21112632751465,"integration fixture; native engine service wall, not GPU kernel time"
2,proxy-request-c63a411c30951ec0c17ea4ccd3e29283,5321,46,3600,73.96445609629154,280.631260946393,0.05912594497203827,355.729341506958,"integration fixture; native engine service wall, not GPU kernel time"
3,proxy-request-ad22e3238236104a8cbc03c77b4b84a3,5659,54,5360,43.63691993057728,330.53670171648264,0.059116166085004807,375.3662109375,"integration fixture; native engine service wall, not GPU kernel time"
4,proxy-request-856a6417d27631230d45256bf8dab51c,6180,56,5712,35.656061954796314,343.4070101939142,0.04630163311958313,380.2337646484375,"integration fixture; native engine service wall, not GPU kernel time"
5,proxy-request-6373f5e4c04819a0ed85e1bec1a304e9,10696,161,6224,165.17341369763017,1028.267451096326,0.051073264330625534,1194.8838233947754,"integration fixture; native engine service wall, not GPU kernel time"
6,proxy-request-1bc572a63e14838b5eedcab2bd091b87,11404,52,10848,61.70210987329483,330.354826990515,0.08115405216813087,393.6941623687744,"integration fixture; native engine service wall, not GPU kernel time"
7,proxy-request-e63372b9e5fe4f3821b0a109cb59aeee,15191,62,11440,173.85115707293153,408.060641027987,0.04599196836352348,583.521842956543,"integration fixture; native engine service wall, not GPU kernel time"
8,proxy-request-515e83d4733039d14b3608a44edbe7bf,15425,54,15248,38.41060912236571,348.66474987939,0.07115397602319717,388.77010345458984,"integration fixture; native engine service wall, not GPU kernel time"
9,proxy-request-d951dd4a222e8a365f00b1452334900b,16222,52,15472,73.00970098003745,337.7559860236943,0.04279380664229393,412.320613861084,"integration fixture; native engine service wall, not GPU kernel time"
10,proxy-request-497a5e987b17f8231822d9a5d61e01a4,16298,71,16272,20.620443858206272,463.9001600444317,0.04879198968410492,486.1016273498535,"integration fixture; native engine service wall, not GPU kernel time"
11,proxy-request-84177e42e455b19da0cfa2a6bc4970db,16969,65,16368,70.88792975991964,424.21902623027563,0.047291163355112076,496.64878845214844,"integration fixture; native engine service wall, not GPU kernel time"
12,proxy-request-55e771ab790b5d56fdf7665dbb8621d0,17246,65,17024,39.112084079533815,425.71687791496515,0.04506204277276993,466.3987159729004,"integration fixture; native engine service wall, not GPU kernel time"
13,proxy-request-d1f711cf5dded47832a2b11db7c4e017,18172,2048,17296,77.68025109544396,13671.450565103441,0.04666810855269432,13750.775337219238,"integration fixture; native engine service wall, not GPU kernel time"
14,proxy-request-135f441012de5897d98a356758a9043f,20259,1473,20208,24.555695243179798,9941.537491977215,0.033702701330184937,9967.866897583008,"integration fixture; native engine service wall, not GPU kernel time"
15,proxy-request-92f35181c7e3ece8dac70d62cc69fb2e,22982,40,21728,103.12055004760623,271.40949899330735,0.036419834941625595,376.54590606689453,"integration fixture; native engine service wall, not GPU kernel time"
16,proxy-request-7c234e76246f2b7f0d8f73f081d2f8cf,23091,370,23008,28.76305114477873,2518.3109808713198,0.03712298348546028,2549.070119857788,"integration fixture; native engine service wall, not GPU kernel time"
17,proxy-request-4add1a162d9d2393ddb24360a2902737,23815,30,23456,51.83886596933007,201.72681799158454,0.040185172110795975,255.5086612701416,"integration fixture; native engine service wall, not GPU kernel time"
18,proxy-request-ab17b8c9573eaca9137d437be365538a,23893,112,23840,25.234310887753963,760.5681060813367,0.03880821168422699,787.7016067504883,"integration fixture; native engine service wall, not GPU kernel time"
19,proxy-request-d1787013363c8c43fb1cfd8c2a9fd877,24222,103,24000,44.34868413954973,701.9752468913794,0.039901118725538254,748.3172416687012,"integration fixture; native engine service wall, not GPU kernel time"
20,proxy-request-c94dcacab521840eeae61dbe52ff2fc5,24493,30,24320,38.1088531576097,201.87899377197027,0.03639794886112213,241.89281463623047,"integration fixture; native engine service wall, not GPU kernel time"
21,proxy-request-9eec2b816959effc23ef6d831e8f446d,24778,302,24512,50.047789700329304,2074.6945082210004,0.04170695319771767,2126.68776512146,"integration fixture; native engine service wall, not GPU kernel time"
22,proxy-request-24e05ce8a20ce087c9007baf6f57bd92,25436,1573,25072,53.46810398623347,10925.973310600966,0.05329027771949768,11014.729738235474,"integration fixture; native engine service wall, not GPU kernel time"
23,proxy-request-b033a86ec13de840caf5c0b0f1b40ddb,27033,42,27008,22.771650925278664,288.96689182147384,0.03420887514948845,313.83252143859863,"integration fixture; native engine service wall, not GPU kernel time"
24,proxy-request-9e81251dda6522e082c07ea6b8215ba4,28227,250,27072,109.23831397667527,1752.4708257988095,0.035881996154785156,1863.8889789581299,"integration fixture; native engine service wall, not GPU kernel time"
25,proxy-request-b8d0a244b2861c584c9d9affda4c68bc,28660,357,28464,46.77593894302845,2508.6971782147884,0.06483914330601692,2557.6846599578857,"integration fixture; native engine service wall, not GPU kernel time"
26,proxy-request-88d6cdf9956137f214c2b81238f3bbbf,29383,519,29008,56.703015230596066,3664.3124585971236,0.06373878568410873,3723.2534885406494,"integration fixture; native engine service wall, not GPU kernel time"
27,proxy-request-808c150a9db51e5d15a0f99c4be57ec4,29932,30,29888,26.224291883409023,207.81848300248384,0.036259181797504425,236.27591133117676,"integration fixture; native engine service wall, not GPU kernel time"
28,proxy-request-1e6e7346dd9ca5f4c9bb6929eb9a8a98,30085,110,29952,40.72565818205476,776.254998985678,0.033750664442777634,819.1709518432617,"integration fixture; native engine service wall, not GPU kernel time"
29,proxy-request-f9be97b0725efa15e9c24b3efba21408,30230,60,30192,24.827024899423122,419.9424399994314,0.04073185846209526,447.0527172088623,"integration fixture; native engine service wall, not GPU kernel time"
30,proxy-request-6db2f56bd4b1ee3e58dddc49a9f452ea,30341,60,30288,26.935021858662367,423.09358110651374,0.04900433123111725,452.2726535797119,"integration fixture; native engine service wall, not GPU kernel time"
31,proxy-request-3a7dcc45eb1179830369e62b69e73b41,30441,245,30400,26.36842615902424,1735.6480876915157,0.050348229706287384,1764.2614841461182,"integration fixture; native engine service wall, not GPU kernel time"
32,proxy-request-63cdca46ac409dd67d2b191225a827d0,30925,254,30672,45.424096286296844,1800.4627907648683,0.03545079380273819,1848.128080368042,"integration fixture; native engine service wall, not GPU kernel time"
33,proxy-request-d633cf3ce67759e94327e3e5c2ba2060,31218,332,31168,27.2145951166749,2365.757156163454,0.03671785816550255,2395.256996154785,"integration fixture; native engine service wall, not GPU kernel time"
