case_id,panel_case_id,candidate_id,instance_id,suite,repository,official_resolved,submitted,exit_status,runner_failure_class,agent_elapsed_ms,api_calls,tokens_sent,tokens_received,attempt_id,attempt_no,worker_id,result_sha256,failed_result_sha256,outcome_basis,adjudication_sha256
configuration-confirmation-case-v1:2a3f636e848c648577d638c50ef546eee20c940f16ed5c5b1515cb6d77ab1b8b,configuration-confirmation-panel-v1:f8afc22678afb852522456a7e39789de893263c3ab13121252f19a0870e1638a,expanded-call100-input61440-observation25000,pytest-dev__pytest-7432,lite,pytest-dev/pytest,False,True,submitted (exit_context),none,401223.960761,89,2867475,10254,attempt-d82be6248cb66a81-001-2841d75cc2ef,1,worker-19,963f0612f9abc34478ecdabc7964c0c4266b2e5e1a274be3adbac9e75ba533c8,,queue_accepted,
configuration-confirmation-case-v1:2b9303d60f5702d052431bc0a0be115d3e97bf5e6e54ce2e41ed8273dde74155,configuration-confirmation-panel-v1:e9635044606e93d3c074d8fe94bd9ff6891a7e300fa28ab1e19635fe90f61e1d,expanded-call100-input61440-observation25000,matplotlib__matplotlib-24637,verified,matplotlib/matplotlib,False,True,submitted,none,288539.51236,68,1475767,3763,attempt-3da7c016660b06ea-001-915b7f9c6de8,1,worker-17,2635f7a6fdd44f35f70460c62bfd35af0f3aa14e64baeca32b3abc8d273080d2,,queue_accepted,
configuration-confirmation-case-v1:2c813565ee7e4d8f0ab4120a584636d621d05bac11ad9b21b2b99a08e0e070f3,configuration-confirmation-panel-v1:b411f4c66007fb7d8d14b234a769305d228a56129e429d15abab68fd964e9989,expanded-call100-input61440-observation25000,astropy__astropy-13236,verified,astropy/astropy,False,True,submitted,none,138333.008284,36,419726,1986,attempt-a69b4561f062ecbf-001-d3f99be1410a,1,worker-17,a0538b5d3f1ebf0b957958fbc5512e2fde892752560544014f5735bb72aa19e2,,queue_accepted,
configuration-confirmation-case-v1:30f1824540ff9dcbbcd16010c28ee3447f9bdc850d5c318fd046e3374b72340c,configuration-confirmation-panel-v1:bc3f0f73129b5d0cd00064a39da8d9bf19f0b92b848f57348db58c39fd91923e,expanded-call50-input61440,pydata__xarray-7393,verified,pydata/xarray,True,True,submitted (exit_cost),none,174207.079059,51,660439,3423,attempt-881fd6b467ce38ee-001-9dc808889fd5,1,worker-19,fa5169047d56681dd28b2c4403a5b4a42d9663b96c9f2c04ebbacc98c9d87dd3,,queue_accepted,
configuration-confirmation-case-v1:32f00806db9f25a63ce6df602a47ae0d9301ef67d748c5825cce471cec979028,configuration-confirmation-panel-v1:b411f4c66007fb7d8d14b234a769305d228a56129e429d15abab68fd964e9989,historical-control-call30-input32768,astropy__astropy-13236,verified,astropy/astropy,False,True,submitted (exit_cost),none,130645.931509,31,312729,1301,attempt-e06659c7ee91fa24-001-e2d5a191dc7f,1,worker-20,dbdb97e57d7cfa1b32a861e38df05662d94495cf6b7de582481934bdc7f154bf,,queue_accepted,
configuration-confirmation-case-v1:33faa599f93444ca9debe36feab53c5661bd332141f37ec9a5058fadaef246b5,configuration-confirmation-panel-v1:ff45415200e8b0e36e5fdd280acc864a19b466e8be61f35c0bdff2c71d2b26e5,expanded-call100-input61440-observation25000,mwaskom__seaborn-3190,lite,mwaskom/seaborn,False,True,submitted,none,170115.191602,48,970095,2669,attempt-a753429d0f3ccc91-001-5fb50929c31b,1,worker-20,5c6569eda97c8951b2c254507fdb66bcb5dd5c15fa3d4fd2d5efe7964e7c3067,,queue_accepted,
configuration-confirmation-case-v1:38a8d28d013e36f074a3592309404b1525f5b666e570f446689203ef46780438,configuration-confirmation-panel-v1:ff45415200e8b0e36e5fdd280acc864a19b466e8be61f35c0bdff2c71d2b26e5,expanded-call50-input61440,mwaskom__seaborn-3190,lite,mwaskom/seaborn,False,True,submitted,none,168347.609287,48,971672,2691,attempt-a7987d955e041e09-001-84f34fee10dc,1,worker-17,1c3a616b76dab07ef4ba78c5f2b845121b5d0a92d3b1fd2839682f4ee97a408d,,queue_accepted,
configuration-confirmation-case-v1:38b9729c998684af9b4df559a1f3620aaf5144bcdd71bc4fe864a1d396e8a205,configuration-confirmation-panel-v1:11f731ff5c16934701a8c0f7ec6356cfa76a83bd97c5ca107bec790020f8909b,expanded-call100-input61440-observation25000,django__django-13321,lite,django/django,False,True,submitted,none,165713.677107,39,708345,2318,attempt-d556cd3ef8e20b8e-001-e88d38c006c8,1,worker-19,ea119f180a80fcdeb31aa54ac29aa12aaa2fc9cf64582cd65bfd82dffc2df19c,,queue_accepted,
configuration-confirmation-case-v1:39fbe752bb831af795b9467780de78e1a46c056861c3898664b244e35c569f6f,configuration-confirmation-panel-v1:7753fb4ce1d3b6afb41167ec6f7e997a5c4e6f1bedb9a2df153fccb73bb0c0b9,expanded-call100-input61440,astropy__astropy-14365,lite,astropy/astropy,False,True,submitted,none,134271.954117,21,266434,1449,attempt-0b4d521a6014491f-001-3518e10cabf6,1,worker-06,45ad497f4db16e35d298e8a8371d9b69b8017ff888f0072b34ba9e0b1263c55f,,queue_accepted,
configuration-confirmation-case-v1:3de554e675f2efcb793c1541a7ad2ad1173ccc544d713ddd0bfe105d013245cc,configuration-confirmation-panel-v1:03d7df4e11835e7b65bd08bfcd8bdcb14bfbeefb5f5d61c6f125e2827dd4e197,expanded-call100-input61440-observation25000,sympy__sympy-19007,lite,sympy/sympy,False,True,submitted,none,144536.684129,40,593310,2429,attempt-effa8bdec9de1bb8-002-e29fedf78d78,2,worker-20,618645ea2a75b3a18939ced8ca723766ca15994d4f1735f9cb1f53a7a809587b,,queue_accepted,
configuration-confirmation-case-v1:3ebf43692eaba30746405221239972c8460453d6f274e01f89ebb419d7a00bee,configuration-confirmation-panel-v1:ff45415200e8b0e36e5fdd280acc864a19b466e8be61f35c0bdff2c71d2b26e5,historical-control-call30-input32768,mwaskom__seaborn-3190,lite,mwaskom/seaborn,False,True,submitted (exit_cost),none,111074.775138,31,425096,1602,attempt-1b39a3669f09f44f-001-1589505883e0,1,worker-19,50b8c1a28704a3aff855e0d42d1febf25914cfd8203ccdb79f2cea287085e639,,queue_accepted,
configuration-confirmation-case-v1:412358afc9d3f6bc2c1ba9aed526bd0e656adf40ac19fa658cc0f2aff38bd489,configuration-confirmation-panel-v1:a8532f8311fd1086cf20d5f508d4b8a347efb9f40371f042295a5b01ba40b824,expanded-call100-input61440-observation25000,sympy__sympy-21379,verified,sympy/sympy,True,True,submitted,none,218127.134719,52,928037,4046,attempt-6db95ffc9aa5336d-001-a21d0f73570e,1,worker-13,c4efe6cac2b647d92d86d22cd059b0914e95bf7991fdcdd88b7c1f831c1182a4,,queue_accepted,
configuration-confirmation-case-v1:413248eecee27aaf7c5bb1c94498f242cfad5365e28d7663b31599909109fa95,configuration-confirmation-panel-v1:39e557131fce83af33b09fb8856828eeba9257eca6f91599fac97759798b9bc0,expanded-call100-input61440,scikit-learn__scikit-learn-12682,verified,scikit-learn/scikit-learn,False,True,submitted,none,153516.319277,37,626612,2204,attempt-84f3f7caf7bdcd90-002-79aad05a4188,2,worker-14,d2451c5f8ba16a94c4b77ed7076636d177d8e620f4ac74177adda43ea5039859,,queue_accepted,
configuration-confirmation-case-v1:4bbfddb6531231f57e829b41ebe7769c1aa2e9bb5aaaef7c5975062aca12e89b,configuration-confirmation-panel-v1:d32abeb62634db0e0b4316f1dd167aa11c6498d10c25b1e20597ea5d28256dff,historical-control-call30-input32768,django__django-13837,verified,django/django,True,True,submitted (exit_cost),none,102519.460516,31,407165,1053,attempt-75c2dc8934354a63-001-58ea1151e661,1,worker-17,f53c894b953ac1d09bef7c810b24c6d368a9526398402e14377b5f19078bc648,,queue_accepted,
configuration-confirmation-case-v1:4c0b574e6bfc6e7c9bd87ab92a8cc4d72d942a8b696abe68e6a358ea2e192057,configuration-confirmation-panel-v1:9b41732fe217e69994170fa3cca12b2154b270d401786e7f6b8a4a0575d82ac6,expanded-call50-input61440,astropy__astropy-12907,verified,astropy/astropy,True,True,submitted,none,160516.021076,39,709347,4933,attempt-792f5cfc6f3c184b-001-fd20bfd11540,1,worker-17,d43dee1a020d4b08b5c39b4ebc39ab6873f49168714e87531acd959e3d302fce,,queue_accepted,
configuration-confirmation-case-v1:4eda462f1b8a9e88060d0cdbb0ce6eb578afb45d063489a85750a4cfe165444e,configuration-confirmation-panel-v1:f8afc22678afb852522456a7e39789de893263c3ab13121252f19a0870e1638a,expanded-call100-input61440,pytest-dev__pytest-7432,lite,pytest-dev/pytest,False,True,submitted,none,355386.949742,84,2611290,9481,attempt-e539462912c6155c-001-8242107d08eb,1,worker-17,c38184daa4b6aae2b3f679d75f596d7a763e8dfa562a7a97daf5e788af0d4716,,queue_accepted,
configuration-confirmation-case-v1:53239e1d5d0128b477d0629ad144a811378dd02d6ee050b76b1235b73be17816,configuration-confirmation-panel-v1:bc3f0f73129b5d0cd00064a39da8d9bf19f0b92b848f57348db58c39fd91923e,expanded-call100-input61440-observation25000,pydata__xarray-7393,verified,pydata/xarray,True,True,submitted,none,223594.151386,65,1063945,4101,attempt-a211737f600a41d1-001-d8c3adcd76c1,1,worker-17,4fefc9d25555c23b68611be9cf02c70301a395c7f5796e95cf69cc313c48f944,,queue_accepted,
configuration-confirmation-case-v1:5427464ea8e6c6c681294ad1cd4385445dbd410e9c034ff04f70b5f3c260b168,configuration-confirmation-panel-v1:4fde69cd1be4bdf9dc014e697cde5f1dd9f3b1f6b43d6178b6d58f10b890e766,historical-control-call30-input32768,pylint-dev__pylint-6506,lite,pylint-dev/pylint,False,True,submitted (exit_context),none,95969.763996,25,347020,1209,attempt-1ec198aa21e654f6-001-ab9d721ebf97,1,worker-20,60114c897923603ac61f5aecf0f472f7ae92ef5a3e88c94ea3f034846e0bbc59,,queue_accepted,
configuration-confirmation-case-v1:562b5b87bcae661d353bfcb0bf32310b3e49c5d9f4499c2a9da29d7de2b40533,configuration-confirmation-panel-v1:bc3f0f73129b5d0cd00064a39da8d9bf19f0b92b848f57348db58c39fd91923e,historical-control-call30-input32768,pydata__xarray-7393,verified,pydata/xarray,False,True,submitted (exit_cost),none,122415.306146,31,257773,1473,attempt-c0b6825a6afbf905-001-7373ac8b1b1f,1,worker-21,5bf2d49d7a14a8066acca99d8b56b3071b38a517c68de163a9ddd0bae50189b6,,queue_accepted,
configuration-confirmation-case-v1:5637c923624af4bce991e5195f5917a7f0524adc7b42e2b5db878e46d57417fe,configuration-confirmation-panel-v1:6f07439261a2915d1bc7be3ed51d96706741d456965d4b8dbc683d177b92501a,expanded-call100-input61440-observation25000,django__django-10097,verified,django/django,False,True,submitted,none,164489.744151,39,809962,1807,attempt-e931c9df8062c466-001-d6dd003cdb79,1,worker-10,ef651d6324f82f4eee3ad28d1d879c7a76253932b7f4e888a2a98d2191974676,,queue_accepted,
configuration-confirmation-case-v1:59d7ec33b771e7e77cb80fdc29dd45bb04a1362d5c876ede1dfdaa60f26b6a7e,configuration-confirmation-panel-v1:39e557131fce83af33b09fb8856828eeba9257eca6f91599fac97759798b9bc0,expanded-call50-input61440,scikit-learn__scikit-learn-12682,verified,scikit-learn/scikit-learn,False,True,submitted,none,224632.122202,47,1259137,2062,attempt-a41ecb3d5e582964-002-d61a41bafa33,2,worker-16,c24b29490edb62b03a5f6fa4bd2ce7ea2119f9bcf72931bfed463c5f48b95011,,queue_accepted,
configuration-confirmation-case-v1:5a0539d4bc2866ddb07ef77fedb151bd7a0c46359d7cff0e2ea2fc54e5b994c7,configuration-confirmation-panel-v1:212acf96f50be0748bc79601b609d46a867231ed5d8a00692eb54d7390b53d81,expanded-call100-input61440-observation25000,sphinx-doc__sphinx-8056,verified,sphinx-doc/sphinx,False,True,submitted (exit_context),none,230839.657813,71,2195081,5588,attempt-a6f9810deaae2332-002-cd0fa767c5af,2,worker-06,3c22731783b7e01f91ae66c82d8293f5d88dec963b7eee9cd6e5f4b713cb900f,,queue_accepted,
configuration-confirmation-case-v1:6172a05513e7282b3ccabfae4eabb0db850ecb74ef9b96a230d127caa91900fb,configuration-confirmation-panel-v1:d6a8f32b5cebd7a49f1821853ecaee29f605d27b3c678871b61fab499e158b95,historical-control-call30-input32768,matplotlib__matplotlib-24149,lite,matplotlib/matplotlib,True,True,submitted (exit_cost),none,118273.737075,31,308001,1623,attempt-d1a7452fabb62436-001-571391740e9a,1,worker-19,0d2fc06d10bb0256cd4f672bf448b6d753ab600fff59b85f8a3453b8bb1e6c5f,,queue_accepted,
configuration-confirmation-case-v1:632105bf95503a9ed96804994e45a20814fdc5acd96ffe3443789625be02d7fe,configuration-confirmation-panel-v1:6f07439261a2915d1bc7be3ed51d96706741d456965d4b8dbc683d177b92501a,expanded-call100-input61440,django__django-10097,verified,django/django,False,True,submitted,none,168547.751705,39,809802,1807,attempt-44229861091a0406-001-0d0e98663956,1,worker-20,a7a0f458d7bb21a25cb4bdfd619e62369255bf635877030c9a67d19bdc41c885,,queue_accepted,
configuration-confirmation-case-v1:65e142a034eb58f5655c50a382350b238f6b6ce12bd61041f750073876bb9c26,configuration-confirmation-panel-v1:f8afc22678afb852522456a7e39789de893263c3ab13121252f19a0870e1638a,expanded-call50-input61440,pytest-dev__pytest-7432,lite,pytest-dev/pytest,False,True,submitted (exit_cost),none,280172.541881,51,1234831,8209,attempt-ec1a0e46e548c767-001-df580222b970,1,worker-20,bba7f77b19d238774c8e3cef2c745fc4be68122123e8ea8afc044fc3ba832574,,queue_accepted,
configuration-confirmation-case-v1:6753f7d0eec13eb5f5d2020acf03534bf153f2cb924f96adc8a108d128550242,configuration-confirmation-panel-v1:7594c33b47585c72b06db97a3d7962c3e18127c7094525cade23133b8f229ae3,historical-control-call30-input32768,pydata__xarray-4094,lite,pydata/xarray,True,True,submitted (exit_cost),none,266768.356438,31,340099,1946,attempt-cc258288eab58be1-001-fcfd1620670b,1,worker-14,ca34d62b43e3e96e63f853d38ae5fd4511dff311255e61d9f8c19c4e763fbf9f,,queue_accepted,
configuration-confirmation-case-v1:68323309d3334423db23e7c0479b71d19d6b4a967ccdb8f7ef97ec0ca168d314,configuration-confirmation-panel-v1:212acf96f50be0748bc79601b609d46a867231ed5d8a00692eb54d7390b53d81,historical-control-call30-input32768,sphinx-doc__sphinx-8056,verified,sphinx-doc/sphinx,False,True,submitted (exit_cost),none,101254.517878,31,449727,1662,attempt-9d4c1dfa4169e738-002-c5883f2ed38b,2,worker-10,3b9b36b709e6753a2e6538e7a3d4df0c75b7a0634d8a3dbf072d21a7967b97ba,,queue_accepted,
configuration-confirmation-case-v1:6a4c229a7b463b9536025b2a4ba49cc06f166712dda42962cf72265e0bd94ccb,configuration-confirmation-panel-v1:7753fb4ce1d3b6afb41167ec6f7e997a5c4e6f1bedb9a2df153fccb73bb0c0b9,expanded-call50-input61440,astropy__astropy-14365,lite,astropy/astropy,False,True,submitted,none,124657.377441,21,256757,1194,attempt-434c2fa9f60c5f90-001-b15e464b38ea,1,worker-14,c00e964d4bf5f8cb6712cb6dba7984071b971130ceba739008fb814c95d60a1e,,queue_accepted,
configuration-confirmation-case-v1:6df3cfd3c967dd46a7c45c70344ff4bfeab5b81b4a4c54850790dfeb7da0b64a,configuration-confirmation-panel-v1:39e557131fce83af33b09fb8856828eeba9257eca6f91599fac97759798b9bc0,expanded-call100-input61440-observation25000,scikit-learn__scikit-learn-12682,verified,scikit-learn/scikit-learn,False,True,submitted,none,146684.486463,33,519500,1725,attempt-2a6610b51538e6ea-002-ce1729e0521b,2,worker-15,fc430a9b17ae6614b2fe05e70ddd2943f7c3f4fd501210e701cc10f84cd17810,,queue_accepted,
configuration-confirmation-case-v1:731fdf152ad4ecfcf90a8c5226f53d9add889aa263d18c49ff13bde4226d0649,configuration-confirmation-panel-v1:9b41732fe217e69994170fa3cca12b2154b270d401786e7f6b8a4a0575d82ac6,expanded-call100-input61440,astropy__astropy-12907,verified,astropy/astropy,True,True,submitted,none,173574.609745,42,825952,4791,attempt-d1412c28949f4d15-001-e526ef9dde54,1,worker-14,99595ae870a26c12a3896d1a9f443e6462b9ffaafb6fee6986089529d6f526a5,,queue_accepted,
configuration-confirmation-case-v1:73bb0941a0cc23085bf54f5d3ad0a37cbf3ab9932da9b5a248a8bfacb5582ec5,configuration-confirmation-panel-v1:11f731ff5c16934701a8c0f7ec6356cfa76a83bd97c5ca107bec790020f8909b,historical-control-call30-input32768,django__django-13321,lite,django/django,False,True,submitted (exit_cost),none,142835.001619,31,490939,1840,attempt-1f2c9dc2cf0130b0-001-61d3d1f83d79,1,worker-20,c381c3580b16d4f3fa26b612ce518070fe766dbc80481918b7f7873748e6f7d6,,queue_accepted,
configuration-confirmation-case-v1:750bef2ea7e08f790026e3d63d11ad7be3c3544f816dc67d63713d2aa869f1b4,configuration-confirmation-panel-v1:d2ccb84e0d32a0cfb8fdb83da8b8904b46a40a4e80cbeabc0b8029bb73fe5230,expanded-call100-input61440,sphinx-doc__sphinx-8595,verified,sphinx-doc/sphinx,True,True,submitted,none,137366.034859,38,619747,1971,attempt-5fbd46217ab241f9-001-833bf17b877d,1,worker-21,47aaca639527496f6b2e2744f3067e7224e7df41ba2b0bb065aa078fc176a2dc,,queue_accepted,
configuration-confirmation-case-v1:757df104d6034ee52ff672f5baa6fd5ba59106f6ed1b66370fe0ce9d08af44d0,configuration-confirmation-panel-v1:9b41732fe217e69994170fa3cca12b2154b270d401786e7f6b8a4a0575d82ac6,historical-control-call30-input32768,astropy__astropy-12907,verified,astropy/astropy,True,True,submitted (exit_cost),none,135288.938475,31,436351,4014,attempt-04cc34fcbeb0ad9f-001-f9bf7362a089,1,worker-15,c334150c63ebed35a53b94cddf1069fa4310aa256d8d543488bb62833654a973,,queue_accepted,
configuration-confirmation-case-v1:75ba9c6c564f85325e7e1b36742a36754758e364c5febfc89056753e9ae9f544,configuration-confirmation-panel-v1:6f07439261a2915d1bc7be3ed51d96706741d456965d4b8dbc683d177b92501a,historical-control-call30-input32768,django__django-10097,verified,django/django,False,True,submitted (exit_cost),none,141501.373862,31,551540,1137,attempt-f920cbbbdefbb7c8-001-3ba5260a928b,1,worker-13,cb507920b826dd943379880cf188fbcda2ebfe215fcc8531e4e95d42e33f8cee,,queue_accepted,
configuration-confirmation-case-v1:76363bbbbbaedc380b67f1a3201ccabf98c5218ce2490da9ebea675f50b977e3,configuration-confirmation-panel-v1:b543aa04d3bda7e9d7916a2912d419a565f3df40780066da7dbc7460add76fa4,expanded-call100-input61440,matplotlib__matplotlib-24026,verified,matplotlib/matplotlib,True,True,submitted,none,184551.429962,41,453852,1830,attempt-f27cf595ad380beb-001-9c384b2ec1d4,1,worker-19,79b6857bfa23e99495679ea46bfd3b39d83cb15ef63293b0178a235a6598c0cd,,queue_accepted,
configuration-confirmation-case-v1:809d832c24d93a80cdee980a31f3d787a720bf6f8dfbd634cb00c3188dd5958c,configuration-confirmation-panel-v1:8bfeed73d2a0e55fd530a628cf72ccdb3d9361813585b754820bef0a5cdd32ce,historical-control-call30-input32768,sphinx-doc__sphinx-8435,lite,sphinx-doc/sphinx,False,True,submitted (exit_cost),none,120189.7177,31,275442,966,attempt-c62ea346f7d44394-001-b0223a5b9e07,1,worker-17,5f87d6832ffb67957566f3bbcf72c9e48b57905906c30975abcf07ba4bb4d503,,queue_accepted,
configuration-confirmation-case-v1:817447a1934d8520c729b4d4a1eabe1f5d80b1828ef0e4467e6b9e25fab65dc8,configuration-confirmation-panel-v1:6f07439261a2915d1bc7be3ed51d96706741d456965d4b8dbc683d177b92501a,expanded-call50-input61440,django__django-10097,verified,django/django,False,True,submitted,none,191027.337198,48,1084684,2934,attempt-caf85f749bdb40f8-003-6fe14c252ee4,3,worker-19,c35f84fff3f9ea85974c6d713215ed41c67113fd5f924e1926bedab6dca0dca2,,queue_accepted,
configuration-confirmation-case-v1:83190452c08a3209baf6010e7c37513031fc732eff93b8d80e11566e13534068,configuration-confirmation-panel-v1:b543aa04d3bda7e9d7916a2912d419a565f3df40780066da7dbc7460add76fa4,historical-control-call30-input32768,matplotlib__matplotlib-24026,verified,matplotlib/matplotlib,True,True,submitted (exit_cost),none,104164.745165,31,412933,1596,attempt-1cb20e18d84743fd-001-47825481f977,1,worker-19,8d62562c8b516cecf08d0bb3609ddded2869a795715b8fbcdba42336207e83f6,,queue_accepted,
configuration-confirmation-case-v1:853a49d0501e51516886df2668982cd2fb656a07c98b2e3dc950aec69280a584,configuration-confirmation-panel-v1:39e557131fce83af33b09fb8856828eeba9257eca6f91599fac97759798b9bc0,historical-control-call30-input32768,scikit-learn__scikit-learn-12682,verified,scikit-learn/scikit-learn,False,True,submitted (exit_cost),none,132993.698201,31,468444,1308,attempt-6c019b008e2e8dd6-002-da552c4f2e3d,2,worker-17,46992c3563ab0a45773e2e25b3eab89090fd640502df452254dbd5390d9c79bd,,queue_accepted,
configuration-confirmation-case-v1:860ae842f4d0f58b35a89203c6c3970b45440c7d9566f9daf6ba218ab816c83c,configuration-confirmation-panel-v1:8bfeed73d2a0e55fd530a628cf72ccdb3d9361813585b754820bef0a5cdd32ce,expanded-call100-input61440-observation25000,sphinx-doc__sphinx-8435,lite,sphinx-doc/sphinx,True,True,submitted (exit_context),none,294845.733438,87,2274402,4329,attempt-1e4cf927a907c160-001-251af2fab553,1,worker-21,f9109078d36bab59cf5edf9c703e3fd6946b236a6eefaa1f1e5f0dace9d03839,,queue_accepted,
